2017-01-17,12.57,13.17,12.49,12.84,1353900,12.84
2017-01-18,12.82,12.84,12.45,12.67,1284700,12.67
2017-01-19,12.63,12.65,12.21,12.35,1011300,12.35
2017-01-20,12.38,12.53,12.29,12.51,943200,12.51
2017-01-23,12.47,12.63,12.32,12.56,1063500,12.56
2017-01-24,12.63,12.78,12.48,12.72,865300,12.72
2017-01-25,12.85,13.22,12.84,13.11,1208700,13.11
2017-01-26,13.12,13.21,12.59,12.61,1429500,12.61
2017-01-27,12.68,12.69,12.11,12.3,1783300,12.3
2017-01-30,12.21,12.42,12.05,12.32,1059900,12.32
2017-01-31,12.2,12.84,12.1,12.77,1923100,12.77
2017-02-01,12.77,12.85,12.42,12.47,1151000,12.47
2017-02-02,12.52,13.17,12.43,12.81,1539500,12.81
2017-02-03,12.87,13.29,12.8,12.84,1124300,12.84
2017-02-06,12.93,12.99,12.69,12.79,1095900,12.79
2017-02-07,12.85,12.89,12.52,12.55,897500,12.55
2017-02-08,12.62,13.08,12.46,13.08,1114200,13.08
2017-02-09,13.08,13.42,12.95,13.32,1051400,13.32
2017-02-10,13.45,13.6,13.28,13.51,846800,13.51
2017-02-13,13.65,13.65,13.32,13.42,766600,13.42
2017-02-14,13.33,13.81,13.16,13.66,833700,13.66
2017-02-15,13.54,13.62,13.34,13.54,875100,13.54
2017-02-16,13.48,13.58,12.81,12.88,1590000,12.88
2017-02-17,12.91,13.03,12.83,13.02,1119600,13.02
2017-02-21,13.25,13.28,12.93,13.03,1243000,13.03
2017-02-22,13.07,13.11,12.81,13.02,1296900,13.02
2017-02-23,12.95,13.08,12.47,12.49,1152000,12.49
2017-02-24,12.53,12.82,12.2,12.68,1413800,12.68
2017-02-27,12.68,12.91,12.61,12.88,1163100,12.88
2017-02-28,12.82,12.84,12.5,12.7,1669500,12.7
2017-03-01,12.92,12.95,12.09,12.4,1782500,12.4
2017-03-02,12.49,13.09,12.49,12.93,1709000,12.93
2017-03-03,13.01,13.05,12.34,12.52,1308500,12.52
2017-03-06,12.5,12.55,12.28,12.5,1295300,12.5
2017-03-07,12.43,12.5,12.32,12.38,1052200,12.38
2017-03-08,12.32,12.53,12.27,12.49,1078000,12.49
2017-03-09,12.13,12.15,11.55,11.89,2707500,11.89
2017-03-10,11.66,12.16,11.57,12.07,2089900,12.07
2017-03-13,12.07,12.07,11.76,11.92,2309900,11.92
2017-03-14,11.86,12.17,11.82,12.1,2150100,12.1
2017-03-15,12.15,12.27,11.94,12.23,3085100,12.23
