2017-01-17,14.44,14.53,14.39,14.49,6713000,14.49
2017-01-18,14.5,14.53,14.39,14.44,7429600,14.44
2017-01-19,14.46,14.51,14.34,14.39,4258800,14.39
2017-01-20,14.34,14.42,14.26,14.36,3616300,14.36
2017-01-23,14.35,14.37,14.08,14.09,12742900,14.09
2017-01-24,14.15,14.22,14.02,14.12,7567400,14.12
2017-01-25,14.14,14.18,13.94,14.0,11241200,14.0
2017-01-26,14.01,14.02,13.76,13.79,7549000,13.79
2017-01-27,13.96,14.09,13.88,13.94,11074600,13.94
2017-01-30,14.04,14.11,13.77,13.81,11588100,13.81
2017-01-31,13.68,13.79,13.58,13.77,8966300,13.77
2017-02-01,13.95,14.0,13.42,13.59,13066600,13.59
2017-02-02,13.91,13.95,13.7,13.75,16379400,13.75
2017-02-03,13.79,13.92,13.79,13.88,4546400,13.88
2017-02-06,13.88,13.98,13.8,13.85,7067100,13.85
2017-02-07,13.95,14.13,13.93,14.07,9725900,14.07
2017-02-08,14.04,14.13,13.87,14.11,8672100,14.11
2017-02-09,14.11,14.65,14.11,14.57,12859500,14.57
2017-02-10,14.58,14.68,14.49,14.5,7328100,14.5
2017-02-13,14.73,14.75,14.62,14.65,7269100,14.65
2017-02-14,14.76,14.96,14.7,14.91,9096900,14.91
2017-02-15,14.88,15.01,14.85,14.86,5992100,14.86
2017-02-16,15.17,15.24,14.95,14.99,4268800,14.99
2017-02-17,14.92,14.98,14.86,14.88,2844200,14.88
2017-02-21,15.09,15.29,15.07,15.29,7453600,15.29
2017-02-22,14.98,15.17,14.95,15.04,8294300,15.04
2017-02-23,15.22,15.3,15.17,15.19,4552000,15.19
2017-02-24,15.1,15.21,15.04,15.21,3414000,15.21
2017-02-27,15.24,15.25,15.14,15.21,4215500,15.21
2017-02-28,15.27,15.29,15.13,15.14,4771400,15.14
2017-03-01,15.39,15.39,15.25,15.36,5317700,15.36
2017-03-02,15.21,15.36,15.15,15.28,3564900,15.28
2017-03-03,15.38,15.47,15.28,15.38,4367500,15.38
2017-03-06,15.3,15.37,15.08,15.16,8440600,15.16
2017-03-07,15.12,15.17,14.96,15.03,11207000,15.03
2017-03-08,15.0,15.09,14.93,14.97,5673200,14.97
2017-03-09,15.04,15.23,14.94,15.22,7787700,15.22
2017-03-10,15.28,15.51,15.27,15.5,5531000,15.5
2017-03-13,15.63,15.68,15.51,15.59,6786800,15.59
2017-03-14,15.59,15.61,15.44,15.56,5011100,15.56
2017-03-15,15.38,15.47,15.22,15.41,4423500,15.41
