2017-01-17,118.339996,120.239998,118.220001,120.0,34439800,119.481976
2017-01-18,120.0,120.5,119.709999,119.989998,23713000,119.472017
2017-01-19,119.400002,120.089996,119.370003,119.779999,25597300,119.262925
2017-01-20,120.449997,120.449997,119.730003,120.0,32597900,119.481976
2017-01-23,120.0,120.809998,119.769997,120.08000200000001,22050200,119.561633
2017-01-24,119.550003,120.099998,119.5,119.970001,23211000,119.45210700000001
2017-01-25,120.41999799999999,122.099998,120.279999,121.879997,32377600,121.353858
2017-01-26,121.66999799999999,122.440002,121.599998,121.940002,26337600,121.413604
2017-01-27,122.139999,122.349998,121.599998,121.949997,20562900,121.42355500000001
2017-01-30,120.93,121.629997,120.660004,121.629997,30377500,121.104937
2017-01-31,121.150002,121.389999,120.620003,121.349998,49201000,120.82614699999999
2017-02-01,127.029999,130.490005,127.010002,128.75,111985000,128.19420300000002
2017-02-02,127.980003,129.389999,127.779999,128.529999,33710400,127.97515200000001
2017-02-03,128.309998,129.190002,128.16000400000001,129.080002,24507300,128.522781
2017-02-06,129.130005,130.5,128.899994,130.28999299999998,26845900,129.727549
2017-02-07,130.53999299999998,132.08999599999999,130.449997,131.529999,38183800,130.962201
2017-02-08,131.350006,132.220001,131.220001,132.03999299999998,23004100,131.46999399999999
2017-02-09,131.649994,132.449997,131.119995,132.419998,28349900,132.419998
2017-02-10,132.46000700000002,132.940002,132.050003,132.119995,20065500,132.119995
2017-02-13,133.080002,133.820007,132.75,133.28999299999998,23035400,133.28999299999998
2017-02-14,133.470001,135.08999599999999,133.25,135.020004,32815500,135.020004
2017-02-15,135.520004,136.270004,134.619995,135.509995,35501600,135.509995
2017-02-16,135.669998,135.899994,134.83999599999999,135.350006,22118000,135.350006
2017-02-17,135.100006,135.830002,135.100006,135.720001,22084500,135.720001
2017-02-21,136.229996,136.75,135.979996,136.699997,24265100,136.699997
2017-02-22,136.429993,137.119995,136.110001,137.110001,20745300,137.110001
2017-02-23,137.380005,137.479996,136.300003,136.529999,20704100,136.529999
2017-02-24,135.91000400000001,136.66000400000001,135.279999,136.66000400000001,21690900,136.66000400000001
2017-02-27,137.139999,137.440002,136.279999,136.929993,20196400,136.929993
2017-02-28,137.080002,137.440002,136.699997,136.990005,23403500,136.990005
2017-03-01,137.889999,140.149994,137.600006,139.78999299999998,36272400,139.78999299999998
2017-03-02,140.0,140.279999,138.759995,138.96000700000002,26153300,138.96000700000002
2017-03-03,138.779999,139.830002,138.58999599999999,139.779999,21108100,139.779999
2017-03-06,139.369995,139.770004,138.600006,139.33999599999999,21155300,139.33999599999999
2017-03-07,139.059998,139.979996,138.78999299999998,139.520004,17267500,139.520004
2017-03-08,138.949997,139.800003,138.820007,139.0,18681800,139.0
2017-03-09,138.740005,138.78999299999998,137.050003,138.679993,22065200,138.679993
2017-03-10,139.25,139.360001,138.639999,139.139999,19488000,139.139999
2017-03-13,138.850006,139.429993,138.820007,139.199997,17042400,139.199997
2017-03-14,139.300003,139.649994,138.83999599999999,138.990005,15189700,138.990005
2017-03-15,139.41000400000001,140.75,139.029999,140.46000700000002,25566800,140.46000700000002
