2017-01-17,7.88,7.91,7.77,7.78,8294800,7.78
2017-01-18,7.83,7.98,7.82,7.93,9150200,7.93
2017-01-19,7.88,7.9,7.74,7.77,12173400,7.77
2017-01-20,7.7,7.72,7.61,7.66,6916900,7.66
2017-01-23,7.59,7.62,7.5,7.57,9166700,7.57
2017-01-24,7.61,7.66,7.55,7.61,7639000,7.61
2017-01-25,7.68,7.84,7.68,7.82,7022400,7.82
2017-01-26,7.82,7.87,7.75,7.85,9006700,7.85
2017-01-27,8.02,8.16,8.01,8.1,8001900,8.1
2017-01-30,7.95,7.98,7.87,7.89,7523300,7.89
2017-01-31,7.87,7.91,7.64,7.75,16347900,7.75
2017-02-01,8.26,8.4,8.25,8.29,17683700,8.29
2017-02-02,8.42,8.46,8.38,8.42,7918000,8.42
2017-02-03,8.39,8.53,8.38,8.52,6815300,8.52
2017-02-06,8.58,8.67,8.56,8.64,7140500,8.64
2017-02-07,8.5,8.59,8.47,8.56,5124100,8.56
2017-02-08,8.48,8.49,8.36,8.48,11037800,8.48
2017-02-09,8.48,8.59,8.48,8.57,3835200,8.57
2017-02-10,8.45,8.53,8.4,8.5,4260000,8.5
2017-02-13,8.48,8.5,8.41,8.45,4731800,8.45
2017-02-14,8.52,8.52,8.39,8.44,5307900,8.44
2017-02-15,8.38,8.43,8.3,8.33,13960400,8.33
2017-02-16,8.29,8.38,8.29,8.37,7560500,8.37
2017-02-17,8.41,8.48,8.34,8.42,4508300,8.42
2017-02-21,8.44,8.47,8.39,8.47,4645700,8.47
2017-02-22,8.44,8.48,8.34,8.38,16298600,8.38
2017-02-23,8.45,8.5,8.42,8.47,9999900,8.47
2017-02-24,8.42,8.47,8.41,8.46,3596400,8.46
2017-02-27,8.38,8.38,8.27,8.3,6822300,8.3
2017-02-28,8.25,8.27,8.16,8.2,11218200,8.2
2017-03-01,8.35,8.51,8.31,8.47,7404800,8.47
2017-03-02,8.35,8.35,8.26,8.31,4506800,8.31
2017-03-03,8.31,8.37,8.28,8.34,3580400,8.34
2017-03-06,8.32,8.33,8.17,8.24,6236500,8.24
2017-03-07,8.23,8.28,8.18,8.23,5354500,8.23
2017-03-08,8.25,8.28,8.21,8.23,5543300,8.23
2017-03-09,8.22,8.32,8.2,8.26,9318700,8.26
2017-03-10,8.18,8.19,8.12,8.15,7341700,8.15
2017-03-13,8.55,8.7,8.5,8.63,22468500,8.63
2017-03-14,8.66,8.72,8.63,8.66,6818400,8.66
2017-03-15,8.68,8.72,8.6,8.72,5128600,8.72
